-800000,193
-798512,191
-797099,188.4
-796467,189.3
-795202,195.2
-794608,199.4
-793260,209
-792943,204
-792081,205.1
-791491,215.4
-790538,221.3
-790153,218.2
-789381,226.3
-788887,229.5
-788033,247.9
-787805,248.1
-787076,256.9
-786587,260.3
-785789,255.4
-785413,253.3
-784692,250.7
-784147,246.9
-783263,252.1
-782059,246.2
-781535,248.7
-780612,242.8
-780268,248.5
-779364,243.9
-778798,245.8
-777900,246.1
-777556,246.3
-776636,243.9
-776037,238.8
-775051,240.5
-774548,236.9
-773680,233.3
-773043,230
-772076,230.9
-771708,229.5
-771260,237.7
-770994,235.6
-770724,238.2
-770447,235.6
-770133,231.5
-769787,226
-769514,228.1
-769050,221.4
-768655,222.4
-767737,217.7
-767096,213.5
-766110,215.7
-765735,216.8
-764833,222.6
-764249,224.1
-763934,221.4
-763686,225.7
-763319,215
-762871,216
-762064,212
-761453,206.1
-760500,206.9
-760202,208.8
-759306,214.9
-758883,217.9
-758475,217.6
-758259,215.3
-757962,219.2
-757561,215
-756871,210.7
-756357,206
-755495,201.9
-755241,200.5
-754394,195.8
-753984,191.5
-752978,196.5
-752605,188
-751830,190.1
-751301,186.2
-750476,184
-750194,184.8
-749401,182.9
-748913,181.4
-748101,180.4
-747759,180.8
-747110,180.8
-746643,183.1
-745836,180.2
-744843,182
-744354,181.2
-743589,180.4
-743233,181.7
-742558,182.3
-742075,177.9
-741307,176.6
-741021,178.6
-740277,178.9
-739842,185
-739137,197.8
-738844,200.3
-738272,206.5
-737889,210.6
-737266,211.3
-737034,208.1
-736460,209.7
-736079,204.1
-735459,201.3
-735167,201.7
-734604,207.4
-734223,205.3
-733543,204.4
-733261,203.9
-732548,205.9
-732141,203.8
-731329,204.9
-730949,204.1
-730299,204
-728921,205.4
-728568,205.1
-727732,205.5
-727192,204.5
-726322,208.1
-725937,206.6
-725059,206.3
-724445,210.3
-723464,213.2
-723133,213.4
-722039,211.3
-721318,206.3
-720337,195.2
-719794,187.8
-718779,184.3
-718064,192.9
-717065,205
-716704,208.1
-715750,222.1
-715180,217.7
-714288,221.7
-713843,222.3
-712833,218.5
-711421,218.7
-711104,218.9
-710237,220.2
-709680,219.7
-706409,228.1
-706141,228.6
-705410,228.5
-704973,233.9
-704211,231.2
-703934,231.2
-703384,232.8
-702988,232.4
-702381,230.3
-702158,229.3
-701606,228.8
-701242,228.2
-700744,227.6
-700389,228.7
-699909,226
-699633,227.6
-699102,227.7
-698880,226.4
-698386,228
-698120,231
-697660,232.2
-697331,232.4
-696963,232.9
-696717,235.4
-696287,234.8
-696062,234.6
-695618,237.6
-695383,236.7
-694941,236.9
-694672,235.8
-694300,234.4
-694068,235.4
-693639,234.1
-693433,234.1
-692990,234.8
-692765,232.9
-692338,235.9
-692057,235.5
-691672,236.6
-691432,235.6
-690999,234
-690771,240
-690294,234.8
-690057,235.6
-689603,239.9
-689304,235.8
-688881,234.9
-688652,235.8
-688195,233
-687949,232.3
-687470,228.8
-687227,228.7
-686726,227.3
-686425,224.3
-685980,224.4
-685716,223.5
-685217,219.7
-684949,219.5
-684419,219.4
-684142,217.5
-683612,217.5
-683262,218.7
-682762,221.3
-682446,222.6
-681849,219.7
-681531,217.3
-680920,216.2
-680608,218.4
-680081,225
-679732,223
-679252,230.3
-678914,230.8
-678291,230
-677984,226.5
-677380,217.4
-677068,215.6
-676524,214
-676170,217.4
-675589,220
-674521,213.7
-674173,209.2
-673475,202.3
-673095,198.7
-672386,194.8
-671926,192.5
-671286,194.6
-670916,192.6
-670176,189.3
-669751,185.5
-668934,178.5
-668447,175.6
-667569,171.6
-666995,172.7
-666174,178.5
-665645,178.2
-664690,185.8
-664192,189.1
-663206,189
-662669,187.8
-661650,189.8
-660981,186.6
-660084,183.9
-659524,182.4
-658474,189.2
-657923,191.3
-656882,198.7
-656286,198.4
-655202,193.2
-654473,191.3
-653448,185.3
-652802,185.8
-651556,192
-650891,187.8
-649598,194.8
-648946,192.1
-647588,190.5
-646723,188.6
-645470,194.6
-644662,194.1
-643204,190.4
-642405,190.2
-640760,189.1
-639848,187.7
-638127,194.3
-636957,193
-635489,193.9
-634592,192.1
-632856,195.6
-632001,199.5
-630295,199.9
-629446,198.7
-627999,205
-627211,214.9
-626215,227.8
-625570,234.3
-624690,237.3
-623214,238.6
-621760,243
-620338,245.4
-618955,247.9
-617544,252.3
-616227,252.4
-614923,252.5
-613709,256
-612514,258
-611319,259.6
-610136,257.7
-608929,259.2
-607708,254.6
-606374,248.5
-605076,244.5
-603673,239.1
-602278,237.9
-600882,232.5
-599434,229.4
-598833,226
-597966,219
-597443,216.3
-596515,216.4
-595950,221.2
-595189,232.9
-594639,238
-593870,238.1
-593415,233.2
-592697,229.4
-592279,225.7
-590893,237.4
-590335,243.6
-589868,248.1
-589224,250.2
-588716,246.3
-588034,238.8
-587647,234.4
-586893,226
-586406,224
-583413,210.6
-583034,206.7
-582391,209.9
-582000,215.4
-581507,219.4
-581160,225.2
-580695,230.3
-580400,236.2
-580019,243.8
-579821,244.1
-579435,251.5
-578857,252.9
-578305,249.1
-577769,251.1
-577242,251.3
-576723,251.3
-576222,252.9
-575730,252.5
-575265,248.9
-574803,252.1
-574353,251.9
-573902,251.8
-573462,248.7
-573037,249.2
-572619,247.7
-572190,246.3
-571775,250.3
-571367,251.6
-570955,249.6
-570548,251.8
-570139,251.8
-569728,251.3
-569331,250
-568946,251.3
-568556,250.2
-568167,253
-567777,252.8
-567381,253.9
-567007,253.2
-566619,254.5
-566233,253.9
-565851,254.3
