#source: La2004 http://vo.imcce.fr/insola/earth/online/earth/earth.html
0,0.1670236225492288e-01,0.4090928042223415e+00,0.1796256991128036e+01
1,0.1627519714977170e-01,0.4068337899307937e+00,0.2098560774622779e+01
2,0.1585014989173078e-01,0.4046314303285188e+00,0.2397656662447144e+01
3,0.1533970553450452e-01,0.4025410228521181e+00,0.2705314878269721e+01
4,0.1483548077812866e-01,0.4006169797694719e+00,0.3009609116749589e+01
5,0.1431647243633636e-01,0.3989009643996893e+00,0.3313412726335608e+01
6,0.1377452858317541e-01,0.3974365551364828e+00,0.3626109866775195e+01
7,0.1320864570190611e-01,0.3962542271929103e+00,0.3933662662199989e+01
8,0.1257771336773313e-01,0.3953768477282271e+00,0.4244145361432192e+01
9,0.1203963610723036e-01,0.3948181839808562e+00,0.4557756073137259e+01
10,0.1138415500849486e-01,0.3945853345435034e+00,0.4872830962641849e+01
11,0.1073915631301862e-01,0.3946720401314630e+00,0.5187426632934143e+01
12,0.1016219139080416e-01,0.3950691228797494e+00,0.5506731940795374e+01
13,0.9476579424510695e-02,0.3957572928143694e+00,0.5825111448826774e+01
14,0.8868656367526862e-02,0.3967117961147458e+00,0.6151453004498277e+01
15,0.8211698998537232e-02,0.3979020201358350e+00,0.1866843765408319e+00
16,0.7603711281526577e-02,0.3992941376536251e+00,0.5172689572126572e+00
17,0.6971062443147833e-02,0.4008484216004263e+00,0.8512534121814053e+00
18,0.6318723642545676e-02,0.4025258308928679e+00,0.1180337520493885e+01
19,0.5721827451914762e-02,0.4042828925814436e+00,0.1526622014227398e+01
20,0.5150806153665704e-02,0.4060768251415044e+00,0.1875182256766904e+01
21,0.4487587402895977e-02,0.4078678817950374e+00,0.2244599485052895e+01
22,0.3979908081131560e-02,0.4096139556469372e+00,0.2619566829913481e+01
23,0.3454178378783511e-02,0.4112781078873434e+00,0.3028524851557370e+01
24,0.2989736539814954e-02,0.4128266019836861e+00,0.3487297443895345e+01
25,0.2629291373473849e-02,0.4142284859181933e+00,0.3963120653706588e+01
26,0.2402467234566218e-02,0.4154550013101297e+00,0.4495029814898467e+01
27,0.2402736178372211e-02,0.4164848124266383e+00,0.5063632424836285e+01
28,0.2432749086359023e-02,0.4172955566587945e+00,0.5603569960626030e+01
29,0.2733574728372175e-02,0.4178722010786641e+00,0.6110697546315459e+01
30,0.3050709057897540e-02,0.4182009661644990e+00,0.2744059955007563e+00
31,0.3465553030802111e-02,0.4182752552207098e+00,0.7019750778799336e+00
32,0.3897949362259476e-02,0.4180886666926155e+00,0.1086820244859845e+01
33,0.4306840416414067e-02,0.4176438258952639e+00,0.1440042827233223e+01
34,0.4811094418951328e-02,0.4169434632327934e+00,0.1793963904014232e+01
35,0.5227417786656635e-02,0.4160000901079834e+00,0.2121314391110978e+01
36,0.5644939699597085e-02,0.4148270765298482e+00,0.2452029631207884e+01
37,0.6101751559223077e-02,0.4134457824953271e+00,0.2760981075669882e+01
38,0.6505755660203742e-02,0.4118795083744148e+00,0.3078597593517269e+01
39,0.6881835663043395e-02,0.4101609579242741e+00,0.3390693530578631e+01
40,0.7295731568638944e-02,0.4083219781971869e+00,0.3686980646577786e+01
41,0.7651879080164638e-02,0.4064024065010671e+00,0.3997367357470924e+01
42,0.8037124826922835e-02,0.4044466996966598e+00,0.4297060576252777e+01
43,0.8358351307613752e-02,0.4024984239171591e+00,0.4593765597815278e+01
44,0.8712821721223854e-02,0.4006056968905055e+00,0.4892816076433340e+01
45,0.9074629158952159e-02,0.3988204775258308e+00,0.5188914741796671e+01
46,0.9327330533853224e-02,0.3971879852478865e+00,0.5484267714808442e+01
47,0.9693592569084588e-02,0.3957554288908829e+00,0.5776697853022114e+01
48,0.9976731605763657e-02,0.3945702148896051e+00,0.6068445409062975e+01
49,0.1024922769070069e-01,0.3936675842109005e+00,0.8006938256121643e-01
50,0.1053399894079009e-01,0.3930833921849447e+00,0.3679479083235693e+00
51,0.1080410920556134e-01,0.3928446531375407e+00,0.6548179295853327e+00
52,0.1106254163048534e-01,0.3929662623376900e+00,0.9509506343663503e+00
53,0.1128864993508802e-01,0.3934563271753345e+00,0.1230946824233563e+01
54,0.1153982965323986e-01,0.3943146115702177e+00,0.1519874116895002e+01
55,0.1179221834839666e-01,0.3955211757694239e+00,0.1806927883462331e+01
56,0.1197913865239046e-01,0.3970551029194382e+00,0.2089467669875985e+01
57,0.1220133407519370e-01,0.3988800767433634e+00,0.2372066266433480e+01
58,0.1246750515566144e-01,0.4009496299602514e+00,0.2654691036800216e+01
59,0.1260318901372543e-01,0.4032132266877108e+00,0.2934731598070293e+01
60,0.1285920718143669e-01,0.4056174018640757e+00,0.3214621502398161e+01
61,0.1304674100584453e-01,0.4080958707806979e+00,0.3489425476532727e+01
62,0.1323801277734370e-01,0.4105897178539223e+00,0.3769135660575015e+01
63,0.1343823261336282e-01,0.4130381016290885e+00,0.4042905061547241e+01
64,0.1362533205722262e-01,0.4153757614544099e+00,0.4314322820046925e+01
65,0.1382438206332450e-01,0.4175457606380234e+00,0.4590592087752779e+01
66,0.1401203073062542e-01,0.4194956835575798e+00,0.4859841444020204e+01
67,0.1414569431489824e-01,0.4211693225214460e+00,0.5129867179784356e+01
68,0.1440561088939268e-01,0.4225289563137843e+00,0.5400145921597704e+01
69,0.1451036396496929e-01,0.4235357305621333e+00,0.5669234902563396e+01
70,0.1467577816988778e-01,0.4241573788733988e+00,0.5937260480781856e+01
71,0.1487659022388920e-01,0.4243793634818949e+00,0.6204496719162440e+01
72,0.1498587180659110e-01,0.4241895973232971e+00,0.1894909377005440e+00
73,0.1512103379493170e-01,0.4235835124424492e+00,0.4592240362527740e+00
74,0.1526799505419831e-01,0.4225764170462375e+00,0.7225669527510243e+00
75,0.1536262235114066e-01,0.4211841956903320e+00,0.9957860194918409e+00
76,0.1547125126074086e-01,0.4194326266214416e+00,0.1262812445392711e+01
77,0.1554092540495394e-01,0.4173644449305871e+00,0.1531919434468555e+01
78,0.1562798991759902e-01,0.4150208118417769e+00,0.1804149739593797e+01
79,0.1570982055368068e-01,0.4124559637397751e+00,0.2075895066689059e+01
80,0.1568891227556949e-01,0.4097322598995085e+00,0.2348721094342942e+01
81,0.1580046960860794e-01,0.4069117172074793e+00,0.2622413077773256e+01
82,0.1579025106782522e-01,0.4040645943720906e+00,0.2898279242824646e+01
83,0.1577050089839086e-01,0.4012686115431010e+00,0.3174940853086612e+01
