nan,6.841417419054840465e+00,1.368112981346065560e+01,2.051743258349647192e+01,2.734862197919086313e+01,3.417299552493278014e+01,4.098885244376378978e+01,4.779449408124741439e+01,5.458822432880955944e+01,6.136835004644392200e+01,6.813318148467854485e+01,7.488103270569645531e+01,8.161022200350683420e+01,8.831907232306139122e+01,9.500591167821139038e+01,1.016690735684020979e+02,1.083068973939994635e+02,1.149177288701461777e+02,1.214999204390445158e+02,1.280518316805616621e+02,1.345718297210578100e+02,1.410582896403312816e+02,1.475095948765837193e+02,1.539241376293007306e+02,1.603003192599493048e+02,1.666365506903927098e+02,1.729312527989210366e+02,1.791828568138025730e+02,1.853898047042538906e+02,1.915505495687339419e+02,1.976635560204645685e+02,2.037273005700804731e+02,2.097402720053157168e+02,2.157009717676282889e+02,2.216079143256733346e+02,2.274596275455283489e+02,2.332546530575793611e+02,2.389915466199779530e+02,2.446688784785763744e+02,2.502852337232518209e+02,2.558392126405323097e+02,2.613294310624339687e+02,2.667545207114258119e+02,2.721131295414314764e+02,2.774039220747893637e+02,2.826255797350803505e+02,2.877768011757448789e+02,2.928563026044063236e+02,2.978628181028184940e+02,3.027950999423592862e+02,3.076519188949902741e+02,3.124320645396068699e+02,3.171343455637004354e+02,3.217575900602574848e+02,3.263006458198250925e+02,3.307623806176640073e+02,3.351416824959235328e+02,3.394374600407652451e+02,3.436486426543652897e+02,3.477741808217299990e+02,3.518130463722578156e+02,3.557642327359798173e+02,3.596267551944187062e+02,3.633996511260014017e+02,3.670819802459641323e+02,3.706728248406911916e+02,3.741712899964288681e+02,3.775765038223162264e+02,3.808876176676781711e+02,3.841038063335284392e+02,3.872242682782246561e+02,3.902482258172311731e+02,3.931749253169327289e+02,3.960036373824566454e+02,3.987336570394532487e+02,4.013643039097898395e+02,4.038949223811156344e+02,4.063248817702542510e+02,4.086535764803824122e+02,4.108804261519579200e+02,4.130048758073573367e+02,4.150263959891883587e+02,4.169444828922410693e+02,4.187586584890470931e+02,4.204684706490141366e+02,4.220734932511061857e+02,4.235733262900420755e+02,4.249675959759849775e+02,4.262559548276986447e+02,4.274380817591471668e+02,4.285136821595165202e+02,4.294824879666371089e+02,4.303442577337910961e+02,4.310987766898859377e+02,4.317458567929794526e+02,4.322853367771438684e+02,4.327170821926574718e+02,4.330409854395113030e+02,4.332569657942252661e+02,4.333649694299675730e+02,4.333649694299675730e+02,4.332569657942252661e+02,4.330409854395113030e+02,4.327170821926574718e+02,4.322853367771438684e+02,4.317458567929794526e+02,4.310987766898859377e+02,4.303442577337910961e+02,4.294824879666371089e+02,4.285136821595165202e+02,4.274380817591471668e+02,4.262559548276986447e+02,4.249675959759849775e+02,4.235733262900420755e+02,4.220734932511061857e+02,4.204684706490141366e+02,4.187586584890470931e+02,4.169444828922410693e+02,4.150263959891883587e+02,4.130048758073573367e+02,4.108804261519579200e+02,4.086535764803824122e+02,4.063248817702542510e+02,4.038949223811156344e+02,4.013643039097898395e+02,3.987336570394532487e+02,3.960036373824566454e+02,3.931749253169327289e+02,3.902482258172311731e+02,3.872242682782245993e+02,3.841038063335284392e+02,3.808876176676780574e+02,3.775765038223162264e+02,3.741712899964288681e+02,3.706728248406911348e+02,3.670819802459641323e+02,3.633996511260014017e+02,3.596267551944187062e+02,3.557642327359798173e+02,3.518130463722577588e+02,3.477741808217299990e+02,3.436486426543652897e+02,3.394374600407653020e+02,3.351416824959234759e+02,3.307623806176638936e+02,3.263006458198250925e+02,3.217575900602574279e+02,3.171343455637004354e+02,3.124320645396068130e+02,3.076519188949902741e+02,3.027950999423592862e+02,2.978628181028184372e+02,2.928563026044063236e+02,2.877768011757448221e+02,2.826255797350804073e+02,2.774039220747893637e+02,2.721131295414314195e+02,2.667545207114258119e+02,2.613294310624339687e+02,2.558392126405323381e+02,2.502852337232517925e+02,2.446688784785763175e+02,2.389915466199779530e+02,2.332546530575792190e+02,2.274596275455283489e+02,2.216079143256733346e+02,2.157009717676282605e+02,2.097402720053157168e+02,2.037273005700804447e+02,1.976635560204645685e+02,1.915505495687339419e+02,1.853898047042538053e+02,1.791828568138025730e+02,1.729312527989209229e+02,1.666365506903927098e+02,1.603003192599493048e+02,1.539241376293008159e+02,1.475095948765837193e+02,1.410582896403312247e+02,1.345718297210578100e+02,1.280518316805616621e+02,1.214999204390445158e+02,1.149177288701461777e+02,1.083068973939994066e+02,1.016690735684020979e+02,9.500591167821129090e+01,8.831907232306139122e+01,8.161022200350683420e+01,7.488103270569635583e+01,6.813318148467854485e+01,6.136835004644380831e+01,5.458822432880955944e+01,4.779449408124741439e+01,4.098885244376369030e+01,3.417299552493278014e+01,2.734862197919076721e+01,2.051743258349647192e+01,1.368112981346065560e+01,6.841417419054740989e+00,nan
1.687655255803381920e+02,1.688138414175458024e+02,1.689588625356897751e+02,1.692008106251476534e+02,1.695400591011536449e+02,1.699771348668307382e+02,1.705127316968598734e+02,1.711477138053271574e+02,1.718831314636447587e+02,1.727202363191825043e+02,1.736605014551804800e+02,1.747056465166165822e+02,1.758576691879264331e+02,1.771188848875368080e+02,1.784919772197696659e+02,1.799800631541678513e+02,1.815867780068270747e+02,1.833163891870836437e+02,1.851739522251961603e+02,1.871655312957171873e+02,1.892985243986654211e+02,1.915821700673342320e+02,1.940283946431663935e+02,1.966533914765935549e+02,1.994811155144209067e+02,2.025543213470248816e+02,2.059867086765853514e+02,2.097150920665993681e+02,2.136282021745547013e+02,2.176772361727240082e+02,2.218301419802949965e+02,2.260633028947123080e+02,2.303582631666812972e+02,2.347000570690732104e+02,2.390762298460982151e+02,2.434762115734668555e+02,2.478908917113233770e+02,2.523123169052112473e+02,2.567334689345326524e+02,2.611480971379428411e+02,2.655505891922645105e+02,2.699358696763480339e+02,2.742993192455822964e+02,2.786367094026611539e+02,2.829441492722614839e+02,2.872180417511056589e+02,2.914550470746447672e+02,2.956520523172150661e+02,2.998061456867668539e+02,3.039145947286232285e+02,3.079748277420218301e+02,3.119844178564923709e+02,3.159410693249471933e+02,3.198426056754184401e+02,3.236869594299330402e+02,3.274721631515369609e+02,3.311963416223061358e+02,3.348577049887084058e+02,3.384545427377681790e+02,3.419852183895097824e+02,3.454481648091593797e+02,3.488418800574053193e+02,3.521649237092638032e+02,3.554159135822786766e+02,3.585935228232834788e+02,3.616964773100830826e+02,3.647235533304132673e+02,3.676735755056146218e+02,3.705454149307603871e+02,3.733379875066494833e+02,3.760502524422088868e+02,3.786812109085362295e+02,3.812299048281279283e+02,3.836954157848293789e+02,3.860768640417708184e+02,3.883734076560465382e+02,3.905842416802023536e+02,3.927085974417267380e+02,3.947457418927374420e+02,3.966949770229260821e+02,3.985556393295888711e+02,4.003270993392458195e+02,4.020087611759483934e+02,4.036000621719030619e+02,4.051004725165068407e+02,4.065094949403109013e+02,4.078266644307987576e+02,4.090515479772025174e+02,4.101837443418791622e+02,4.112228838560425856e+02,4.121686282378872193e+02,4.130206704313702062e+02,4.137787344641131426e+02,4.144425753230777900e+02,4.150119788468393836e+02,4.154867616334405511e+02,4.158667709629592082e+02,4.161518847340603315e+02,4.163420114139374846e+02,4.164370900011736012e+02,4.164370900011737149e+02,4.163420114139374277e+02,4.161518847340603884e+02,4.158667709629592082e+02,4.154867616334403237e+02,4.150119788468393836e+02,4.144425753230777332e+02,4.137787344641130858e+02,4.130206704313701493e+02,4.121686282378871056e+02,4.112228838560425856e+02,4.101837443418791622e+02,4.090515479772025174e+02,4.078266644307988145e+02,4.065094949403109013e+02,4.051004725165067839e+02,4.036000621719029482e+02,4.020087611759483934e+02,4.003270993392457626e+02,3.985556393295888711e+02,3.966949770229261958e+02,3.947457418927373283e+02,3.927085974417266812e+02,3.905842416802023536e+02,3.883734076560465382e+02,3.860768640417708184e+02,3.836954157848293789e+02,3.812299048281279283e+02,3.786812109085361726e+02,3.760502524422088868e+02,3.733379875066495970e+02,3.705454149307603302e+02,3.676735755056146218e+02,3.647235533304132105e+02,3.616964773100830826e+02,3.585935228232835925e+02,3.554159135822786766e+02,3.521649237092639169e+02,3.488418800574053193e+02,3.454481648091592660e+02,3.419852183895097824e+02,3.384545427377681790e+02,3.348577049887084058e+02,3.311963416223062495e+02,3.274721631515369609e+02,3.236869594299330970e+02,3.198426056754184401e+02,3.159410693249471933e+02,3.119844178564924277e+02,3.079748277420219438e+02,3.039145947286233422e+02,2.998061456867667403e+02,2.956520523172151798e+02,2.914550470746447672e+02,2.872180417511057158e+02,2.829441492722614839e+02,2.786367094026611539e+02,2.742993192455822964e+02,2.699358696763480339e+02,2.655505891922646242e+02,2.611480971379427274e+02,2.567334689345326524e+02,2.523123169052111621e+02,2.478908917113232349e+02,2.434762115734668555e+02,2.390762298460983288e+02,2.347000570690732388e+02,2.303582631666813256e+02,2.260633028947123080e+02,2.218301419802950250e+02,2.176772361727240082e+02,2.136282021745546160e+02,2.097150920665993681e+02,2.059867086765853514e+02,2.025543213470249100e+02,1.994811155144208783e+02,1.966533914765935549e+02,1.940283946431663935e+02,1.915821700673341752e+02,1.892985243986653927e+02,1.871655312957171589e+02,1.851739522251963024e+02,1.833163891870836437e+02,1.815867780068270463e+02,1.799800631541679365e+02,1.784919772197696091e+02,1.771188848875368365e+02,1.758576691879264615e+02,1.747056465166164969e+02,1.736605014551804800e+02,1.727202363191824475e+02,1.718831314636448155e+02,1.711477138053271005e+02,1.705127316968598734e+02,1.699771348668307382e+02,1.695400591011536733e+02,1.692008106251476534e+02,1.689588625356897751e+02,1.688138414175459161e+02,1.687655255803381920e+02
3.108866854888911462e+02,3.108855875386570347e+02,3.108823076450530607e+02,3.108768876877257981e+02,3.108693975964121137e+02,3.108599354978614429e+02,3.108486279331152673e+02,3.108356302011611092e+02,3.108211267245311547e+02,3.108053313807102995e+02,3.107884882924962540e+02,3.107708721914851822e+02,3.107527892713637243e+02,3.107345779047697647e+02,3.107166096271798210e+02,3.106992901439190859e+02,3.106830604566021634e+02,3.106683982095507872e+02,3.106558190705718516e+02,3.106458784557092940e+02,3.106391732675924686e+02,3.106363439345878987e+02,3.106380767684185571e+02,3.106451064235374133e+02,3.106582188967678348e+02,3.106782545590876339e+02,3.107061121669441377e+02,3.107427528415701659e+02,3.107892046568679234e+02,3.108465684779994262e+02,3.109160236988269617e+02,3.109988359187606193e+02,3.110963649231339900e+02,3.112100747281501754e+02,3.113415445650438187e+02,3.114924833616129263e+02,3.116647452051680034e+02,3.118603494598376074e+02,3.120815049641215637e+02,3.123306396989748350e+02,3.126104385762745324e+02,3.129238916753934632e+02,3.132743573911614021e+02,3.136656470680172220e+02,3.141021424845066576e+02,3.145889642240973672e+02,3.151322269292454621e+02,3.157394480149031892e+02,3.164202783342022940e+02,3.171879828434367710e+02,3.180633887590450399e+02,3.190978913504134198e+02,3.203141587754406601e+02,3.216392135444142468e+02,3.230420081260655820e+02,3.245033015157823684e+02,3.260090193921415676e+02,3.275480764862577416e+02,3.291113578234684383e+02,3.306911530942101081e+02,3.322808076312022649e+02,3.338744908562455862e+02,3.354670342988680432e+02,3.370538136053647804e+02,3.386306598091622391e+02,3.401937908689827736e+02,3.417397577175578931e+02,3.432654009890238740e+02,3.447678157899970302e+02,3.462443226513343006e+02,3.476924433115493684e+02,3.491098803345014403e+02,3.504944998104064098e+02,3.518443165655820621e+02,3.531574814349534108e+02,3.544322702467148929e+02,3.556670742403480290e+02,3.568603916939841838e+02,3.580108205794475680e+02,3.591170520963976287e+02,3.601778649631256712e+02,3.611921203623941210e+02,3.621587574574678570e+02,3.630767894070872899e+02,3.639452998192482482e+02,3.647634395928116646e+02,3.655304241035628365e+02,3.662455306976834208e+02,3.669080964609329385e+02,3.675175162363540267e+02,3.680732408671554481e+02,3.685747756447342454e+02,3.690216789446375287e+02,3.694135610357512860e+02,3.697500830501743394e+02,3.700309561031579051e+02,3.702559405542107243e+02,3.704248454020186045e+02,3.705375278072410765e+02,3.705938927385575994e+02,3.705938927385576562e+02,3.705375278072410765e+02,3.704248454020184909e+02,3.702559405542107243e+02,3.700309561031579051e+02,3.697500830501743394e+02,3.694135610357512860e+02,3.690216789446374719e+02,3.685747756447342454e+02,3.680732408671555049e+02,3.675175162363540267e+02,3.669080964609329385e+02,3.662455306976834208e+02,3.655304241035628365e+02,3.647634395928116646e+02,3.639452998192481346e+02,3.630767894070872899e+02,3.621587574574678001e+02,3.611921203623942347e+02,3.601778649631257849e+02,3.591170520963976287e+02,3.580108205794476248e+02,3.568603916939842975e+02,3.556670742403481427e+02,3.544322702467148929e+02,3.531574814349532971e+02,3.518443165655820621e+02,3.504944998104064098e+02,3.491098803345015540e+02,3.476924433115493684e+02,3.462443226513343006e+02,3.447678157899970302e+02,3.432654009890238740e+02,3.417397577175578363e+02,3.401937908689827736e+02,3.386306598091623528e+02,3.370538136053649509e+02,3.354670342988680432e+02,3.338744908562456430e+02,3.322808076312022649e+02,3.306911530942102786e+02,3.291113578234684383e+02,3.275480764862579690e+02,3.260090193921416812e+02,3.245033015157823684e+02,3.230420081260656389e+02,3.216392135444143605e+02,3.203141587754406601e+02,3.190978913504135335e+02,3.180633887590448694e+02,3.171879828434367141e+02,3.164202783342022940e+02,3.157394480149035303e+02,3.151322269292455189e+02,3.145889642240974808e+02,3.141021424845067145e+02,3.136656470680171651e+02,3.132743573911614021e+02,3.129238916753934632e+02,3.126104385762745324e+02,3.123306396989748350e+02,3.120815049641217342e+02,3.118603494598377210e+02,3.116647452051679466e+02,3.114924833616129263e+02,3.113415445650437618e+02,3.112100747281501754e+02,3.110963649231339332e+02,3.109988359187606193e+02,3.109160236988270753e+02,3.108465684779995968e+02,3.107892046568679234e+02,3.107427528415701659e+02,3.107061121669441377e+02,3.106782545590878044e+02,3.106582188967677780e+02,3.106451064235372996e+02,3.106380767684183866e+02,3.106363439345880124e+02,3.106391732675923549e+02,3.106458784557094077e+02,3.106558190705720222e+02,3.106683982095507872e+02,3.106830604566021634e+02,3.106992901439190859e+02,3.107166096271798210e+02,3.107345779047698215e+02,3.107527892713635538e+02,3.107708721914849548e+02,3.107884882924961403e+02,3.108053313807104132e+02,3.108211267245312683e+02,3.108356302011611660e+02,3.108486279331152673e+02,3.108599354978613860e+02,3.108693975964120000e+02,3.108768876877257981e+02,3.108823076450530607e+02,3.108855875386570915e+02,3.108866854888912599e+02
4.039256735369826856e+02,4.039043113031213466e+02,4.038402361604402131e+02,4.037334827958139840e+02,4.035841090131053193e+02,4.033921957871353356e+02,4.031578472911550648e+02,4.028811908929501442e+02,4.025623772819781721e+02,4.022015803973371817e+02,4.017989976984550822e+02,4.013548500338112603e+02,4.008693818609296500e+02,4.003428612937455000e+02,3.997755802099852644e+02,3.991678544321992490e+02,3.985200238030161017e+02,3.978324523229014176e+02,3.971055284046130964e+02,3.963396649601859849e+02,3.955352996308157003e+02,3.946928950350299488e+02,3.938129388967014393e+02,3.928959444494975060e+02,3.919424505985949736e+02,3.909530222444947754e+02,3.899282506475851733e+02,3.888687536299137832e+02,3.877751762254753203e+02,3.866481908586654868e+02,3.854884978753228779e+02,3.842968259511818587e+02,3.830739328181884957e+02,3.818206056224033773e+02,3.805376616194409962e+02,3.792259489423580590e+02,3.778863471193593568e+02,3.765197680714874764e+02,3.751271570041174641e+02,3.737094931570832728e+02,3.722677910281149707e+02,3.708031016138622249e+02,3.693165129210960913e+02,3.678091527414270558e+02,3.662821888826841814e+02,3.647368313829886688e+02,3.631743343340055503e+02,3.615959978983238443e+02,3.600031704384443287e+02,3.583972513940784665e+02,3.567796939436493062e+02,3.551520075567919434e+02,3.535157630483678304e+02,3.518725951302634485e+02,3.502242076986199208e+02,3.485723789454342523e+02,3.469189673811036414e+02,3.452659185240557917e+02,3.436152731174894370e+02,3.419691763362156394e+02,3.403298887594064581e+02,3.386997993871425479e+02,3.370814412640091859e+02,3.354775103747961680e+02,3.338908888865840368e+02,3.323246739895475343e+02,3.307822143553455589e+02,3.292671579458517499e+02,3.277835139012987611e+02,3.263357380194086659e+02,3.249288526709282223e+02,3.235686238487348874e+02,3.222618381211632936e+02,3.210167730000401889e+02,3.198440992501739402e+02,3.187590113120572823e+02,3.177897900002193978e+02,3.169874923644485420e+02,3.163010406190740014e+02,3.157009200039967709e+02,3.151716986001370060e+02,3.147027879498079983e+02,3.142861949749728865e+02,3.139155673816677563e+02,3.135856935327962560e+02,3.132922063395118926e+02,3.130313930923073258e+02,3.128000660243434936e+02,3.125954703099901053e+02,3.124152164666342060e+02,3.122572293954287943e+02,3.121197091981021003e+02,3.120011005988395141e+02,3.119000688345348635e+02,3.118154805349314529e+02,3.117463885480880776e+02,3.116920199619943332e+02,3.116517667804846496e+02,3.116251788617452121e+02,3.116119588401954843e+02,3.116119588401954843e+02,3.116251788617452121e+02,3.116517667804847065e+02,3.116920199619943901e+02,3.117463885480880208e+02,3.118154805349313392e+02,3.119000688345349204e+02,3.120011005988395709e+02,3.121197091981021003e+02,3.122572293954287375e+02,3.124152164666341491e+02,3.125954703099901053e+02,3.128000660243434936e+02,3.130313930923073258e+02,3.132922063395119494e+02,3.135856935327961992e+02,3.139155673816678700e+02,3.142861949749730002e+02,3.147027879498078846e+02,3.151716986001371197e+02,3.157009200039966572e+02,3.163010406190741151e+02,3.169874923644485989e+02,3.177897900002195115e+02,3.187590113120571687e+02,3.198440992501739402e+02,3.210167730000402457e+02,3.222618381211632936e+02,3.235686238487349442e+02,3.249288526709281086e+02,3.263357380194088364e+02,3.277835139012985337e+02,3.292671579458518636e+02,3.307822143553455589e+02,3.323246739895475343e+02,3.338908888865840936e+02,3.354775103747962248e+02,3.370814412640091859e+02,3.386997993871425479e+02,3.403298887594064581e+02,3.419691763362156962e+02,3.436152731174894939e+02,3.452659185240559054e+02,3.469189673811034709e+02,3.485723789454341954e+02,3.502242076986199208e+02,3.518725951302633916e+02,3.535157630483680578e+02,3.551520075567918866e+02,3.567796939436494768e+02,3.583972513940785802e+02,3.600031704384443856e+02,3.615959978983240717e+02,3.631743343340054935e+02,3.647368313829885551e+02,3.662821888826842951e+02,3.678091527414271695e+02,3.693165129210962050e+02,3.708031016138620544e+02,3.722677910281149707e+02,3.737094931570831591e+02,3.751271570041174641e+02,3.765197680714874764e+02,3.778863471193594705e+02,3.792259489423580590e+02,3.805376616194411099e+02,3.818206056224033205e+02,3.830739328181883820e+02,3.842968259511819156e+02,3.854884978753229348e+02,3.866481908586656004e+02,3.877751762254753203e+02,3.888687536299137832e+02,3.899282506475852870e+02,3.909530222444947185e+02,3.919424505985949736e+02,3.928959444494975060e+02,3.938129388967014393e+02,3.946928950350300624e+02,3.955352996308157572e+02,3.963396649601860418e+02,3.971055284046129827e+02,3.978324523229013039e+02,3.985200238030161017e+02,3.991678544321993627e+02,3.997755802099852644e+02,4.003428612937455000e+02,4.008693818609298205e+02,4.013548500338113740e+02,4.017989976984550822e+02,4.022015803973372385e+02,4.025623772819781152e+02,4.028811908929500873e+02,4.031578472911551785e+02,4.033921957871353925e+02,4.035841090131053193e+02,4.037334827958138703e+02,4.038402361604401563e+02,4.039043113031213466e+02,4.039256735369825719e+02
